id,s41,s42,s43,trust_pomp,trust_bin,trust_c5,trust_c7,cohort,female,edu_years,hukou,party,region,subj_class,econ_subj,fairness,social_trust,si_med,si_pen,si_any,empstat,statsec,contract,lninc,internet,know_lawyer,know_police,voted,year,wt
1300.0,4,7,14,0.699999988079071,1.0,1.0,1.0,6.0,1.0,15.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,,1.0,10.778977394104004,5.0,0.0,0.0,0.0,2017.0,1.3349579572677612
1304.0,4,7,135,,,,,6.0,0.0,12.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,4.0,,,0.0,5.0,,,0.0,2017.0,2.172687530517578
1306.0,4,7,16,,,,,2.0,0.0,9.0,2.0,1.0,1.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,,,10.596659660339355,1.0,,,1.0,2017.0,0.7655896544456482
1307.0,4,7,135,,,,,6.0,0.0,16.0,2.0,0.0,1.0,6.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,9.90353775024414,5.0,,,0.0,2017.0,0.9117698073387146
1308.0,4,7,19,1.0,1.0,1.0,1.0,6.0,0.0,16.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2017.0,2.73530912399292
1309.0,4,7,14,,,,,1.0,1.0,12.0,2.0,1.0,1.0,6.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,,,11.002116203308105,3.0,,,1.0,2017.0,0.4221976697444916
1310.0,4,7,16,,,,,5.0,1.0,16.0,2.0,0.0,1.0,6.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,,4.0,,,0.0,2017.0,1.8027513027191162
1311.0,4,7,22,0.20000000298023224,0.0,0.0,0.0,6.0,0.0,16.0,2.0,0.0,1.0,5.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,,,8.853808403015137,98.0,0.0,0.0,0.0,2017.0,1.8235396146774292
1312.0,4,7,20,,,,,6.0,0.0,16.0,2.0,0.0,1.0,6.0,4.0,4.0,2.0,1.0,0.0,1.0,4.0,,,0.0,5.0,,,0.0,2017.0,2.73530912399292
1313.0,4,7,22,,,,,4.0,1.0,6.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,,10.181157112121582,2.0,,,0.0,2017.0,0.5809220671653748
1314.0,4,7,16,,,,,5.0,1.0,15.0,1.0,0.0,1.0,7.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,,,0.0,5.0,,,1.0,2017.0,1.8027513027191162
1315.0,4,7,15,,,,,5.0,0.0,19.0,2.0,1.0,1.0,7.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,12.301387786865234,3.0,,,0.0,2017.0,1.4616329669952393
1317.0,4,7,16,,,,,2.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,4.0,,,0.0,1.0,,,0.0,2017.0,0.9569870829582214
1318.0,4,7,135,,,,,2.0,0.0,6.0,1.0,0.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,,,10.085850715637207,1.0,,,0.0,2017.0,0.3827948272228241
1321.0,4,7,19,1.0,1.0,1.0,1.0,4.0,1.0,9.0,1.0,0.0,1.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,10.819798469543457,4.0,0.0,0.0,0.0,2017.0,0.808918833732605
1322.0,4,7,19,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,0.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,,,10.596659660339355,1.0,0.0,1.0,1.0,2017.0,0.6332964301109314
1323.0,4,7,21,,,,,6.0,0.0,19.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,12.206077575683594,5.0,,,1.0,2017.0,0.9117698073387146
1325.0,4,7,16,,,,,1.0,0.0,15.0,2.0,1.0,1.0,7.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,,,12.206077575683594,5.0,,,0.0,2017.0,0.6183629631996155
1326.0,4,7,19,,,,,6.0,1.0,19.0,2.0,0.0,1.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,4.0,,,0.0,5.0,,,0.0,2017.0,0.6674789786338806
1327.0,4,7,16,,,,,1.0,1.0,6.0,1.0,0.0,1.0,3.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,,,0.0,1.0,,,1.0,2017.0,0.4221976697444916
1328.0,4,7,19,,,,,5.0,0.0,16.0,1.0,0.0,1.0,5.0,3.0,1.0,4.0,,,,,,,11.918396949768066,5.0,,,,2017.0,1.4616329669952393
1329.0,4,7,21,,,,,1.0,0.0,16.0,1.0,0.0,1.0,5.0,3.0,4.0,4.0,1.0,0.0,1.0,4.0,,,11.002116203308105,2.0,,,1.0,2017.0,0.6183629631996155
